AGE,GENDER,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,LOAN_NUM_CLOSED,LOAN_NUM_TOTAL,PERSONAL_INCOME,AGREEMENT_RK,TARGET
42,1,1,0,1,0,0,0,25000,60099204,1
28,1,1,1,1,0,0,0,10000,62244665,0
64,0,2,0,1,1,1,1,30000,61050759,0
54,1,0,0,1,0,0,0,25000,62079659,0
26,0,1,1,1,0,2,2,15000,66583553,0
63,1,2,0,0,1,1,1,7800,66759647,0
32,0,0,0,1,0,0,0,12000,60045224,1
52,1,1,0,1,0,3,3,8000,66593813,0
47,0,2,0,1,0,0,0,10000,62380912,0
23,1,0,0,1,0,1,1,7000,65420244,0
42,1,2,1,1,0,0,0,9000,64885090,0
31,1,0,0,1,0,0,0,12000,61241205,0
25,1,0,0,1,0,1,1,4900,65396723,0
37,1,2,2,1,0,0,0,20000,63590644,0
52,1,3,0,0,1,0,0,5500,62168155,0
46,1,2,0,1,0,2,2,55000,74560681,0
28,1,1,1,1,0,0,0,8500,60387399,0
62,1,0,0,0,1,0,0,8000,62810257,0
50,0,1,0,1,0,0,0,20000,61376906,0
30,1,2,2,1,0,0,0,5000,62178934,1
64,0,0,0,0,1,0,0,9000,61257026,0
41,1,0,0,1,0,0,0,6500,62171073,0
27,1,0,0,1,0,1,1,7000,64365052,0
41,1,0,0,1,0,1,1,8000,60456097,0
30,1,0,0,1,0,2,3,15000,75021737,0
61,1,2,0,1,1,0,0,27000,74834078,0
38,1,0,1,1,0,1,3,15000,67335615,0
51,1,0,0,1,0,0,0,6000,66194407,0
58,0,2,0,0,1,0,0,10500,63326150,0
35,0,1,1,1,0,2,2,15000,59911832,0
45,0,2,1,1,0,4,4,20000,66756441,0
25,1,0,0,1,0,2,2,9000,65405795,0
62,1,2,0,1,1,0,0,13000,62083785,0
30,1,1,1,1,0,0,0,11000,62128075,0
56,1,3,0,1,1,1,1,20000,61427836,0
36,1,1,1,1,0,0,0,15000,62599729,0
55,1,2,0,1,0,0,0,13000,62623117,0
29,0,1,1,1,0,0,0,25000,61253219,0
32,0,2,1,1,0,0,0,21000,63913234,0
36,0,1,1,1,0,2,2,15000,67020373,0
27,0,2,2,1,0,0,0,6500,61306799,0
41,0,3,2,1,0,0,0,10000,61378742,0
54,1,2,0,0,1,0,0,6500,67531672,0
52,0,1,0,1,0,1,1,30000,60468475,0
28,1,1,1,1,0,0,0,12000,66961178,0
26,1,1,1,1,0,0,0,8000,66902951,0
27,0,1,1,1,0,0,0,20000,61958864,0
28,0,0,0,1,0,0,0,12000,64564180,1
25,1,1,1,1,0,0,0,11000,61243509,0
39,1,2,2,1,0,1,2,8000,72289471,0
64,1,0,0,1,0,0,0,23000,66661261,1
43,0,1,1,1,0,0,0,20000,63907628,0
44,0,0,0,1,0,0,0,22000,65007484,0
34,1,2,2,1,0,0,0,15000,64335140,0
34,1,1,1,1,0,2,2,7000,66745524,1
51,1,1,0,1,0,2,2,7500,61938660,0
40,0,2,2,1,0,0,0,15000,75214244,0
27,0,1,1,1,0,0,0,12000,62094470,1
29,0,0,0,1,0,1,1,20000,59930422,0
42,1,2,2,1,0,0,0,11000,60098380,0
50,1,1,0,1,0,0,0,10000,62384561,0
26,0,1,1,1,0,1,1,15000,59962548,0
22,0,0,0,1,0,0,0,10000,61244949,1
57,0,2,1,1,1,0,0,23000,62249206,0
50,1,0,0,1,0,0,0,15000,62786543,0
35,0,1,1,1,0,0,0,12500,61423700,0
55,1,1,0,1,1,2,2,20000,66771811,0
34,0,0,1,1,0,3,3,12000,66670943,0
28,0,1,1,1,0,0,0,6000,62236055,0
59,0,3,0,1,0,0,0,17500,62593286,0
47,1,1,0,1,0,3,3,18000,66782719,0
41,1,2,2,1,0,2,2,9000,66432857,0
36,1,0,0,1,0,2,2,7000,66530733,1
55,0,0,0,1,0,0,0,18000,61467586,0
52,0,1,0,1,0,0,0,25000,61845475,0
46,0,2,0,1,0,0,0,30000,74995307,1
23,1,1,1,1,0,0,0,7000,59973701,0
23,1,0,0,1,0,0,0,9000,67321747,0
40,1,1,1,1,0,0,0,15000,64471913,0
36,1,3,3,1,0,1,1,11000,61231849,0
23,0,1,1,1,0,0,0,15000,63986090,0
40,1,1,0,1,0,0,0,25000,62024184,0
61,0,0,0,0,1,3,3,8500,66760003,0
48,0,0,0,1,0,0,0,9000,64551242,0
52,1,0,0,1,0,0,0,5000,61316755,0
41,0,1,1,1,0,0,0,40000,63094088,0
44,1,2,1,1,0,2,2,30000,67173594,1
36,1,3,3,1,0,0,0,8000,62799248,0
42,0,3,2,1,0,0,0,12000,62776533,0
22,1,0,1,1,0,0,0,14000,61236972,1
49,1,2,0,1,0,0,0,17000,60106019,0
39,1,2,2,1,0,0,0,5000,62809362,0
41,0,1,1,1,0,0,0,25000,61151593,0
63,1,2,0,0,1,1,1,6000,74190360,0
33,1,1,1,1,0,0,0,15000,62023684,0
38,0,1,1,1,0,1,1,16000,61079700,0
29,1,1,1,1,0,1,1,10000,72285109,0
49,1,1,1,1,0,1,2,8000,73827016,0
50,1,2,0,1,0,0,0,6000,61372316,0
48,0,0,0,1,0,1,1,12000,59939829,0
42,1,2,2,1,0,0,0,11000,64839795,0
39,0,1,1,1,0,0,0,18000,64563165,0
61,1,0,0,1,0,2,2,17000,66524810,0
42,1,2,2,1,0,0,0,14000,60096783,0
